2026-09-22 15:18:57.029979480 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GatherSliceToSplitFusion on step 1.
2026-09-22 15:18:57.029985644 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GatherSliceToSplitFusion modified: 0 with status: OK
2026-09-22 15:18:57.029987662 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GatherToSliceFusion on step 1.
2026-09-22 15:18:57.029990958 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GatherToSliceFusion modified: 0 with status: OK
2026-09-22 15:18:57.029993751 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatmulTransposeFusion on step 1.
2026-09-22 15:18:57.030000280 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatmulTransposeFusion modified: 0 with status: OK
2026-09-22 15:18:57.030003019 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer BiasGeluFusion on step 1.
2026-09-22 15:18:57.030006409 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer BiasGeluFusion modified: 0 with status: OK
2026-09-22 15:18:57.030008415 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer GroupQueryAttentionFusion on step 1.
2026-09-22 15:18:57.030011952 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer GroupQueryAttentionFusion modified: 0 with status: OK
2026-09-22 15:18:57.030014528 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer MatMulAddFusion on step 1.
2026-09-22 15:18:57.030016758 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer MatMulAddFusion modified: 0 with status: OK
2026-09-22 15:18:57.030018620 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer SkipLayerNormFusion on step 1.
2026-09-22 15:18:57.030021987 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer SkipLayerNormFusion modified: 0 with status: OK
2026-09-22 15:18:57.030023782 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer BiasSkipLayerNormFusion on step 1.
2026-09-22 15:18:57.030026265 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer BiasSkipLayerNormFusion modified: 0 with status: OK
2026-09-22 15:18:57.030030062 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer FastGeluFusion on step 1.
2026-09-22 15:18:57.030032234 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer FastGeluFusion modified: 0 with status: OK
2026-09-22 15:18:57.030033896 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer QuickGeluFusion on step 1.
2026-09-22 15:18:57.030037030 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer QuickGeluFusion modified: 0 with status: OK
2026-09-22 15:18:57.030038741 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer BiasSoftmaxFusion on step 1.
2026-09-22 15:18:57.030041974 [I:onnxruntime:, graph_transformer.cc:15 Apply] GraphTransformer BiasSoftmaxFusion modified: 0 with status: OK
2026-09-22 15:18:57.030043886 [V:onnxruntime:, graph_transformer_mgr.cc:55 ApplyTransformers] Applying graph transformer BiasDropoutFusion on step 1.
